#OG	aln_fasta_path	from_alignment_id	to_alignment_id	pp_min	from_token	to_token
OG0028003	03_alignments/raw_nr/OG0028003.fa.nr.fa.aln.fa	Cereus_5087	FFFD_36551	0.95	cereus_5087	fffd_36551
OG0028003	03_alignments/raw_nr/OG0028003.fa.nr.fa.aln.fa	Cereus_5087	FFFE_39917	0.95	cereus_5087	fffe_39917
OG0028003	03_alignments/raw_nr/OG0028003.fa.nr.fa.aln.fa	Cereus_5087	FFFF_61238	0.95	cereus_5087	ffff_61238
OG0028003	03_alignments/raw_nr/OG0028003.fa.nr.fa.aln.fa	Cereus_5087	FFFG_73760	0.95	cereus_5087	fffg_73760
OG0028003	03_alignments/raw_nr/OG0028003.fa.nr.fa.aln.fa	Cereus_5087	FFFH_49579	0.95	cereus_5087	fffh_49579
OG0028003	03_alignments/raw_nr/OG0028003.fa.nr.fa.aln.fa	Cereus_5087	FFFI_71599	0.95	cereus_5087	fffi_71599
OG0028976	03_alignments/raw_nr/OG0028976.fa.nr.fa.aln.fa	Cereus_19790	FFFD_23291	0.95	cereus_19790	fffd_23291
OG0028976	03_alignments/raw_nr/OG0028976.fa.nr.fa.aln.fa	Cereus_19790	FFFE_19967	0.95	cereus_19790	fffe_19967
OG0028976	03_alignments/raw_nr/OG0028976.fa.nr.fa.aln.fa	Cereus_19790	FFFF_12384	0.95	cereus_19790	ffff_12384
OG0028976	03_alignments/raw_nr/OG0028976.fa.nr.fa.aln.fa	Cereus_19790	FFFG_47024	0.95	cereus_19790	fffg_47024
OG0028976	03_alignments/raw_nr/OG0028976.fa.nr.fa.aln.fa	Cereus_19790	FFFH_5761	0.95	cereus_19790	fffh_5761
OG0028976	03_alignments/raw_nr/OG0028976.fa.nr.fa.aln.fa	Cereus_19790	FFFI_25351	0.95	cereus_19790	fffi_25351
OG0029756	03_alignments/raw_nr/OG0029756.fa.nr.fa.aln.fa	Cereus_51133	FFFE_31597	0.95	cereus_51133	fff3_31597
OG0029756	03_alignments/raw_nr/OG0029756.fa.nr.fa.aln.fa	Cereus_51133	FFFD_22079	0.95	cereus_51133	fffd_22079
OG0029756	03_alignments/raw_nr/OG0029756.fa.nr.fa.aln.fa	Cereus_51133	FFFF_26018	0.95	cereus_51133	ffff_26018
OG0029756	03_alignments/raw_nr/OG0029756.fa.nr.fa.aln.fa	Cereus_51133	FFFG_67072	0.95	cereus_51133	fffg_67072
OG0029756	03_alignments/raw_nr/OG0029756.fa.nr.fa.aln.fa	Cereus_51133	FFFH_8507	0.95	cereus_51133	fffh_8507
OG0029756	03_alignments/raw_nr/OG0029756.fa.nr.fa.aln.fa	Cereus_51133	FFFI_13010	0.95	cereus_51133	fffi_13010
OG0030099	03_alignments/raw_nr/OG0030099.fa.nr.fa.aln.fa	Cereus_76980	FFFE_34513	0.95	cereus_76980	fffe_34513
OG0030099	03_alignments/raw_nr/OG0030099.fa.nr.fa.aln.fa	Cereus_76980	FFFF_67669	0.95	cereus_76980	ffff_67669
OG0030099	03_alignments/raw_nr/OG0030099.fa.nr.fa.aln.fa	Cereus_76980	FFFG_69053	0.95	cereus_76980	fffg_69053
OG0030099	03_alignments/raw_nr/OG0030099.fa.nr.fa.aln.fa	Cereus_76980	FFFH_73284	0.95	cereus_76980	fffh_73284
OG0030099	03_alignments/raw_nr/OG0030099.fa.nr.fa.aln.fa	Cereus_76980	FFFI_66515	0.95	cereus_76980	fffi_66515
