orthogroup	pdb_path	token	sample
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_cereus_5087.best_model_0.pdb	cereus_5087	UNKNOWN
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_fffd_36551.best_model_0.pdb	fffd_36551	UNKNOWN
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_fffe_39917.best_model_0.pdb	fffe_39917	UNKNOWN
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_ffff_61238.best_model_0.pdb	ffff_61238	UNKNOWN
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_fffg_73760.best_model_0.pdb	fffg_73760	UNKNOWN
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_fffh_49579.best_model_0.pdb	fffh_49579	UNKNOWN
OG0028003	04_structures/alphafold_best_pdb/OG0028003/fold_fffi_71599.best_model_0.pdb	fffi_71599	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_cereus_19790.best_model_0.pdb	cereus_19790	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_fffd_23291.best_model_0.pdb	fffd_23291	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_fffe_19967.best_model_0.pdb	fffe_19967	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_ffff_12384.best_model_0.pdb	ffff_12384	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_fffg_47024.best_model_0.pdb	fffg_47024	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_fffh_5761.best_model_0.pdb	fffh_5761	UNKNOWN
OG0028976	04_structures/alphafold_best_pdb/OG0028976/fold_fffi_25351.best_model_0.pdb	fffi_25351	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_cereus_51133.best_model_0.pdb	cereus_51133	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_fff3_31597.best_model_0.pdb	fff3_31597	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_fffd_22079.best_model_0.pdb	fffd_22079	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_ffff_26018.best_model_0.pdb	ffff_26018	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_fffg_67072.best_model_0.pdb	fffg_67072	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_fffh_8507.best_model_0.pdb	fffh_8507	UNKNOWN
OG0029756	04_structures/alphafold_best_pdb/OG0029756/fold_fffi_13010.best_model_0.pdb	fffi_13010	UNKNOWN
OG0030099	04_structures/alphafold_best_pdb/OG0030099/fold_cereus_76980.best_model_0.pdb	cereus_76980	UNKNOWN
OG0030099	04_structures/alphafold_best_pdb/OG0030099/fold_fffe_34513.best_model_0.pdb	fffe_34513	UNKNOWN
OG0030099	04_structures/alphafold_best_pdb/OG0030099/fold_ffff_67669.best_model_0.pdb	ffff_67669	UNKNOWN
OG0030099	04_structures/alphafold_best_pdb/OG0030099/fold_fffg_69053.best_model_0.pdb	fffg_69053	UNKNOWN
OG0030099	04_structures/alphafold_best_pdb/OG0030099/fold_fffh_73284.best_model_0.pdb	fffh_73284	UNKNOWN
OG0030099	04_structures/alphafold_best_pdb/OG0030099/fold_fffi_66515.best_model_0.pdb	fffi_66515	UNKNOWN
OG0031271	04_structures/alphafold_best_pdb/OG0031271/fold_fffd_39141.best_model_0.pdb	fffd_39141	UNKNOWN
OG0031271	04_structures/alphafold_best_pdb/OG0031271/fold_fffe_6748.best_model_0.pdb	fffe_6748	UNKNOWN
OG0031271	04_structures/alphafold_best_pdb/OG0031271/fold_fffg_91372.best_model_0.pdb	fffg_91372	UNKNOWN
