orthogroup	token	alignment_id	identity	status
OG0028003	cereus_5087	Cereus_5087	1.0	OK
OG0028003	fffd_36551	FFFD_36551	1.0	OK
OG0028003	fffe_39917	FFFE_39917	1.0	OK
OG0028003	ffff_61238	FFFF_61238	1.0	OK
OG0028003	fffg_73760	FFFG_73760	1.0	OK
OG0028003	fffh_49579	FFFH_49579	1.0	OK
OG0028003	fffi_71599	FFFI_71599	1.0	OK
OG0028976	cereus_19790	Cereus_19790	1.0	OK
OG0028976	fffd_23291	FFFD_23291	1.0	OK
OG0028976	fffe_19967	FFFE_19967	1.0	OK
OG0028976	ffff_12384	FFFF_12384	1.0	OK
OG0028976	fffg_47024	FFFG_47024	1.0	OK
OG0028976	fffh_5761	FFFH_5761	1.0	OK
OG0028976	fffi_25351	FFFI_25351	1.0	OK
OG0029756	cereus_51133	Cereus_51133	1.0	OK
OG0029756	fff3_31597	FFFE_31597	1.0	OK
OG0029756	fffd_22079	FFFD_22079	1.0	OK
OG0029756	ffff_26018	FFFF_26018	1.0	OK
OG0029756	fffg_67072	FFFG_67072	1.0	OK
OG0029756	fffh_8507	FFFH_8507	1.0	OK
OG0029756	fffi_13010	FFFI_13010	1.0	OK
OG0030099	cereus_76980	Cereus_76980	1.0	OK
OG0030099	fffe_34513	FFFE_34513	1.0	OK
OG0030099	ffff_67669	FFFF_67669	1.0	OK
OG0030099	fffg_69053	FFFG_69053	1.0	OK
OG0030099	fffh_73284	FFFH_73284	1.0	OK
OG0030099	fffi_66515	FFFI_66515	1.0	OK
OG0031271	fffd_39141	FFFD_39141	1.0	OK
OG0031271	fffe_6748	FFFE_6748	1.0	OK
OG0031271	fffg_91372	FFFG_91372	1.0	OK
